id_transaccion,date,hora,timestamp,dia_semana,mes,año,es_festivo,es_fin_semana,mesa,tipo_mesa,num_personas,mesero,productos por tiket,item_name,categoria,units_sold,price,cost,subtotal_tiket,propina_en_tiket,productos_en_tiket,tiket_total,margen_bruto_tiket,margen_porcentaje_tiket,ticket_promedio_persona,metodo_pago,duracion_minutos,periodo_dia
TRX0009493,01-12-25,17:21,01-12-25 17:21,Lunes,12,2025,FALSE,FALSE,14,Salón,2,Mesero_04,4,Vaso Michelado,Bebida,1,3477,1738,56801,6727,4,63528,34129,60.09,31764,Tarjeta Crédito,50,Tarde
TRX0009493,01-12-25,17:21,01-12-25 17:21,Lunes,12,2025,FALSE,FALSE,14,Salón,2,Mesero_04,4,Limonada Anisada,Bebidas Frías,1,8114,2677,56801,6727,4,63528,34129,60.09,31764,Tarjeta Crédito,50,Tarde
TRX0009493,01-12-25,17:21,01-12-25 17:21,Lunes,12,2025,FALSE,FALSE,14,Salón,2,Mesero_04,4,Hervido con Tequila,Coctelería,1,28981,10143,56801,6727,4,63528,34129,60.09,31764,Tarjeta Crédito,50,Tarde
TRX0009493,01-12-25,17:21,01-12-25 17:21,Lunes,12,2025,FALSE,FALSE,14,Salón,2,Mesero_04,4,Corona,Cerveza,1,16229,8114,56801,6727,4,63528,34129,60.09,31764,Tarjeta Crédito,50,Tarde
TRX0009490,01-12-25,17:27,01-12-25 17:27,Lunes,12,2025,FALSE,FALSE,12,Salón,3,Mesero_03,3,Old Fashioned,Coctelería,1,39415,13795,118245,17599,3,135844,76860,65,45281,Tarjeta Crédito,72,Tarde
TRX0009490,01-12-25,17:27,01-12-25 17:27,Lunes,12,2025,FALSE,FALSE,12,Salón,3,Mesero_03,3,Cosmopolitan,Coctelería,1,39415,13795,118245,17599,3,135844,76860,65,45281,Tarjeta Crédito,72,Tarde
TRX0009490,01-12-25,17:27,01-12-25 17:27,Lunes,12,2025,FALSE,FALSE,12,Salón,3,Mesero_03,3,Margarita Ardiente,Coctelería,1,39415,13795,118245,17599,3,135844,76860,65,45281,Tarjeta Crédito,72,Tarde
TRX0009491,01-12-25,19:55,01-12-25 19:55,Lunes,12,2025,FALSE,FALSE,14,Salón,2,Mesero_04,7,Limonada Campesina,Bebidas Frías,1,8114,2677,297929,30536,7,328465,160779,53.97,164232,Tarjeta Débito,104,Noche
TRX0009491,01-12-25,19:55,01-12-25 19:55,Lunes,12,2025,FALSE,FALSE,14,Salón,2,Mesero_04,7,Stella Artois,Cerveza,1,16229,8114,297929,30536,7,328465,160779,53.97,164232,Tarjeta Débito,104,Noche
TRX0009491,01-12-25,19:55,01-12-25 19:55,Lunes,12,2025,FALSE,FALSE,14,Salón,2,Mesero_04,7,Smirnoff Red,Vodka,1,150705,82888,297929,30536,7,328465,160779,53.97,164232,Tarjeta Débito,104,Noche
TRX0009491,01-12-25,19:55,01-12-25 19:55,Lunes,12,2025,FALSE,FALSE,14,Salón,2,Mesero_04,7,Tónica,Bebida,1,9274,4637,297929,30536,7,328465,160779,53.97,164232,Tarjeta Débito,104,Noche
TRX0009491,01-12-25,19:55,01-12-25 19:55,Lunes,12,2025,FALSE,FALSE,14,Salón,2,Mesero_04,7,Nachos,Snacks,1,32459,10711,297929,30536,7,328465,160779,53.97,164232,Tarjeta Débito,104,Noche
TRX0009491,01-12-25,19:55,01-12-25 19:55,Lunes,12,2025,FALSE,FALSE,14,Salón,2,Mesero_04,7,Salmón en Salsa de Maracuyá,Salmón,1,67237,23533,297929,30536,7,328465,160779,53.97,164232,Tarjeta Débito,104,Noche
TRX0009491,01-12-25,19:55,01-12-25 19:55,Lunes,12,2025,FALSE,FALSE,14,Salón,2,Mesero_04,7,Brownie con Helado,Postres,1,13911,4590,297929,30536,7,328465,160779,53.97,164232,Tarjeta Débito,104,Noche
TRX0009492,01-12-25,20:15,01-12-25 20:15,Lunes,12,2025,FALSE,FALSE,25,Salón,5,Mesero_03,7,Beefeater,Ginebra,1,301411,165776,682809,89019,7,771828,354216,51.88,154366,Mixto,88,Noche
